District,S.No.,Parameters,Type,April - Total [(A+B) or (C+D)],April - Public [A],April - Private [B],April - Urban [C],April - Rural [D],May - Total [(A+B) or (C+D)],May - Public [A],May - Private [B],May - Urban [C],May - Rural [D],June - Total [(A+B) or (C+D)],June - Public [A],June - Private [B],June - Urban [C],June - Rural [D],July - Total [(A+B) or (C+D)],July - Public [A],July - Private [B],July - Urban [C],July - Rural [D],August - Total [(A+B) or (C+D)],August - Public [A],August - Private [B],August - Urban [C],August - Rural [D],September - Total [(A+B) or (C+D)],September - Public [A],September - Private [B],September - Urban [C],September - Rural [D],October - Total [(A+B) or (C+D)],October - Public [A],October - Private [B],October - Urban [C],October - Rural [D],November - Total [(A+B) or (C+D)],November - Public [A],November - Private [B],November - Urban [C],November - Rural [D],December - Total [(A+B) or (C+D)],December - Public [A],December - Private [B],December - Urban [C],December - Rural [D],January - Total [(A+B) or (C+D)],January - Public [A],January - Private [B],January - Urban [C],January - Rural [D],February - Total [(A+B) or (C+D)],February - Public [A],February - Private [B],February - Urban [C],February - Rural [D],March - Total [(A+B) or (C+D)],March - Public [A],March - Private [B],March - Urban [C],March - Rural [D],Total - Total [(A+B) or (C+D)],Total - Public [A],Total - Private [B],Total - Urban [C],Total - Rural [D]
Bokaro,'1.3.1',New cases of PW with hypertension detected,TOTAL,23,23,0,0,23,42,42,0,7,35,33,33,0,2,31,36,36,0,1,35,22,22,0,1,21,17,17,0,1,16,35,35,0,0,35,24,24,0,0,24,19,19,0,0,19,24,24,0,0,24,15,15,0,0,15,17,17,0,0,17,307,307,0,12,295
Bokaro,'1.3.1.a',"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,22,22,0,0,22,34,34,0,0,34,24,24,0,0,24,29,29,0,1,28,20,20,0,1,19,14,14,0,1,13,28,28,0,0,28,22,22,0,0,22,19,19,0,0,19,19,19,0,0,19,12,12,0,0,12,17,17,0,0,17,260,260,0,3,257
Bokaro,'1.3.2',Number of Eclampsia cases managed during delivery,TOTAL,0,0,0,0,0,2,2,0,0,2,2,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0,0,0,3,3,0,0,3,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,14,14,0,0,14
Bokaro,'1.4.1',Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,3715,2570,1145,1110,2605,3801,2737,1064,1037,2764,3743,2707,1036,940,2803,4094,2902,1192,1033,3061,4059,3002,1057,1082,2977,3250,2453,797,529,2721,3194,2602,592,325,2869,3235,2696,539,293,2942,3124,2560,564,362,2762,3584,2490,1094,934,2650,3562,2738,824,593,2969,2689,2234,455,411,2278,42050,31691,10359,8649,33401
Bokaro,'1.4.2',Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,1828,1746,82,82,1746,2006,1940,66,82,1924,1901,1824,77,96,1805,2223,2143,80,56,2167,2049,1981,68,92,1957,2006,1936,70,101,1905,2362,2154,208,194,2168,2231,2169,62,58,2173,2110,2057,53,50,2060,2007,1921,86,81,1926,2360,2248,112,89,2271,1762,1695,67,81,1681,24845,23814,1031,1062,23783
Bokaro,'1.4.3',Number of PW having Hb level<7 (tested cases),TOTAL,36,36,0,0,36,44,44,0,0,44,48,48,0,0,48,57,57,0,0,57,60,60,0,0,60,70,70,0,0,70,86,74,12,12,74,56,56,0,NA,56,42,42,0,NA,42,65,65,0,NA,65,64,64,0,0,64,42,42,0,NA,42,670,658,12,12,658
Bokaro,'1.4.4',Number of PW having severe anaemia (Hb<7) treated,TOTAL,34,34,0,0,34,43,43,0,0,43,44,44,0,0,44,54,54,0,0,54,57,57,0,0,57,62,62,0,0,62,56,56,0,0,56,43,43,0,NA,43,36,36,0,NA,36,59,59,0,NA,59,60,60,0,0,60,32,32,0,NA,32,580,580,0,0,580
Bokaro,'1.5.1',Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,60,60,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,0,1,33,37,37,0,1,36,32,32,0,16,16,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,2,2,0,2,0,165,165,0,20,145
Bokaro,'1.5.2',Number of PW tested positive for GDM,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
Bokaro,'1.5.3',Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0
Bokaro,'1.6.1.a',Number of PW tested using POC test for Syphilis,TOTAL,2243,2243,NA,117,2126,2233,2233,NA,214,2019,2463,2463,NA,211,2252,2502,2502,NA,222,2280,2300,2300,NA,272,2028,2123,2123,NA,163,1960,2191,2191,NA,54,2137,2467,2467,NA,77,2390,2453,2453,NA,125,2328,2498,2498,NA,132,2366,2479,2479,NA,140,2339,1771,1771,NA,135,1636,27723,27723,NA,1862,25861
Bokaro,'1.6.1.b',"Out of above, number of PW found sero positive for syphilis",TOTAL,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,11,11,NA,0,11,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,11,11,NA,0,11
Bokaro,'1.6.2.a',Number of pregnant women tested for Syphilis,TOTAL,1156,1156,0,10,1146,1329,1329,0,16,1313,1097,1097,0,4,1093,1274,1274,0,31,1243,1148,1148,0,25,1123,1055,1055,0,19,1036,1193,1193,0,38,1155,1107,1107,0,36,1071,1147,1147,0,28,1119,1314,1314,0,35,1279,1267,1267,0,44,1223,878,878,0,48,830,13965,13965,0,334,13631
Bokaro,'1.6.2.b',Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokaro,'1.6.2.c',Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokaro,'1.6.2.d',Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokaro,'1.6.2.e',Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bokaro,'2.1.1.a',Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,62,62,NA,0,62,50,50,NA,9,41,49,49,NA,3,46,65,65,NA,6,59,83,83,NA,10,73,72,72,NA,3,69,62,62,NA,8,54,53,53,NA,10,43,65,65,NA,7,58,41,41,NA,2,39,27,27,NA,3,24,12,12,NA,0,12,641,641,NA,61,580
Bokaro,'2.1.1.b',Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,70,70,NA,15,55,70,70,NA,17,53,45,45,NA,8,37,72,72,NA,10,62,51,51,NA,10,41,50,50,NA,3,47,51,51,NA,0,51,58,58,NA,0,58,26,26,NA,0,26,61,61,NA,0,61,44,44,NA,0,44,34,34,NA,0,34,632,632,NA,63,569
Bokaro,'2.1.2',Number of PW given Tablet Misoprostol during home delivery,TOTAL,21,21,NA,0,21,23,23,NA,0,23,20,20,NA,0,20,21,21,NA,0,21,26,26,NA,0,26,26,26,NA,0,26,12,12,NA,0,12,25,25,NA,0,25,19,19,NA,0,19,36,36,NA,0,36,26,26,NA,0,26,19,19,NA,0,19,274,274,NA,0,274
Bokaro,'2.1.3',Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,86,86,NA,7,79,93,93,NA,11,82,82,82,NA,7,75,89,89,NA,6,83,90,90,NA,4,86,137,137,NA,2,135,72,72,NA,0,72,51,51,NA,2,49,54,54,NA,0,54,59,59,NA,0,59,48,48,NA,0,48,17,17,NA,0,17,878,878,NA,39,839
Bokaro,'2.2',Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,3889,1553,2336,1251,2638,3818,1709,2109,1085,2733,3838,1599,2239,1117,2721,3920,1732,2188,1090,2830,3776,1806,1970,985,2791,3543,1751,1792,750,2793,3104,1803,1301,349,2755,3114,1734,1380,455,2659,3287,1794,1493,498,2789,3120,1598,1522,501,2619,3313,1523,1790,750,2563,2681,1338,1343,348,2333,41403,19940,21463,9179,32224
Bokaro,'2.2.1',Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,3522,1500,2022,1145,2377,3571,1674,1897,991,2580,3446,1494,1952,944,2502,3405,1589,1816,855,2550,3450,1783,1667,789,2661,3110,1665,1445,550,2560,2878,1723,1155,349,2529,2903,1636,1267,455,2448,2999,1684,1315,498,2501,2852,1476,1376,501,2351,3017,1406,1611,750,2267,2368,1197,1171,348,2020,37521,18827,18694,8175,29346
Bokaro,'2.2.2',Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,1540,1007,533,0,1540,1602,1132,470,0,1602,1802,1109,693,0,1802,1687,1086,601,0,1687,1803,1280,523,0,1803,1652,1123,529,0,1652,1568,1169,399,0,1568,1450,990,460,0,1450,1496,1008,488,0,1496,1167,957,210,0,1167,1178,976,202,0,1178,883,701,182,0,883,17828,12538,5290,0,17828
Bokaro,'3.1',Total C -Section deliveries performed,TOTAL,198,44,154,45,153,173,89,84,35,138,200,91,109,31,169,189,66,123,25,164,199,90,109,21,178,202,83,119,25,177,358,102,256,180,178,312,94,218,141,171,263,87,176,121,142,326,107,219,135,191,325,107,218,125,200,240,91,149,87,153,2985,1051,1934,971,2014
Bokaro,'3.1.1',"C-sections, performed at night (8 PM- 8 AM)",TOTAL,27,4,23,0,27,26,15,11,0,26,36,12,24,0,36,28,5,23,0,28,31,4,27,0,31,26,5,21,0,26,31,10,21,0,31,30,11,19,NA,30,8,8,0,NA,8,21,6,15,NA,21,35,13,22,NA,35,16,5,11,NA,16,315,98,217,0,315
Bokaro,'4.1.1.a',Live Birth - Male,TOTAL,2104,898,1206,663,1441,2105,995,1110,581,1524,2110,927,1183,608,1502,2087,972,1115,558,1529,2099,1026,1073,564,1535,1895,978,917,405,1490,1773,1026,747,221,1552,1688,963,725,260,1428,1741,985,756,301,1440,1668,870,798,304,1364,1712,809,903,402,1310,1463,703,760,198,1265,22445,11152,11293,5065,17380
Bokaro,'4.1.1.b',Live Birth - Female,TOTAL,1902,772,1130,603,1299,1825,826,999,530,1295,1810,754,1056,520,1290,1966,893,1073,548,1418,1805,908,897,440,1365,1714,883,831,351,1363,1532,880,652,136,1396,1533,890,643,205,1328,1537,896,641,204,1333,1550,826,724,199,1351,1661,774,887,351,1310,1301,688,613,150,1151,20136,9990,10146,4237,15899
Bokaro,'4.1.2',Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,86,86,0,0,86,64,64,0,0,64,100,100,0,0,100,106,106,0,0,106,144,144,0,1,143,127,127,0,0,127,198,198,0,0,198,175,175,0,0,175,143,143,0,0,143,177,177,0,0,177,23,23,0,0,23,133,133,0,0,133,1476,1476,0,1,1475
Bokaro,'4.1.3',Still Birth,TOTAL,15,15,0,0,15,25,25,0,0,25,19,19,0,0,19,16,16,0,0,16,22,22,0,1,21,12,12,0,0,12,13,13,0,0,13,13,13,0,0,13,16,16,0,0,16,12,12,0,0,12,4,4,0,0,4,14,14,0,0,14,181,181,0,1,180
Bokaro,'4.2',Abortion (spontaneous),TOTAL,37,37,0,0,37,123,53,70,0,123,56,56,0,0,56,159,66,93,0,159,187,69,118,5,182,179,56,123,5,174,170,62,108,0,170,196,57,139,0,196,196,55,141,0,196,177,61,116,0,177,172,69,103,0,172,91,38,53,0,91,1743,679,1064,10,1733
Bokaro,'4.3.1.a',MTP up to 12 weeks of pregnancy,TOTAL,18,18,0,0,18,97,27,70,0,97,29,18,11,11,18,119,26,93,0,119,132,14,118,0,132,189,34,155,32,157,164,31,133,25,139,199,29,170,31,168,204,42,162,21,183,187,40,147,31,156,183,54,129,26,157,88,25,63,10,78,1609,358,1251,187,1422
Bokaro,'4.3.1.b',MTP more than 12 weeks of pregnancy,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0
Bokaro,'4.3.2.a',Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0
Bokaro,'4.3.2.b',Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0
Bokaro,'4.3.3',Number of women provided with post abortion/ MTP contraception,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0
Bokaro,'4.4.1',Number of newborns weighed at birth,TOTAL,3552,1645,1907,1266,2286,3776,1816,1960,1111,2665,3769,1677,2092,1128,2641,3879,1849,2030,1106,2773,3730,1904,1826,1004,2726,3465,1814,1651,756,2709,3039,1881,1158,357,2682,3050,1822,1228,465,2585,3209,1858,1351,505,2704,3039,1663,1376,503,2536,3180,1549,1631,753,2427,2571,1373,1198,348,2223,40259,20851,19408,9302,30957
Bokaro,'4.4.2',Number of newborns having weight less than 2.5 kg,TOTAL,136,130,6,0,136,149,139,10,0,149,177,171,6,0,177,165,155,10,0,165,192,187,5,0,192,193,181,12,0,193,177,169,8,0,177,212,202,10,0,212,203,186,17,0,203,196,181,15,0,196,143,133,10,0,143,130,121,9,0,130,2073,1955,118,0,2073
Bokaro,'4.4.3',Number of Newborns breast fed within 1 hour of birth ,TOTAL,3521,1614,1907,1266,2255,3685,1728,1957,1111,2574,3747,1651,2096,1128,2619,3819,1781,2038,1106,2713,3693,1872,1821,1004,2689,3563,1823,1740,756,2807,2991,1853,1138,357,2634,3012,1798,1214,465,2547,3119,1768,1351,505,2614,2932,1556,1376,503,2429,2929,1298,1631,753,2176,2468,1270,1198,348,2120,39479,20012,19467,9302,30177
Bokaro,'5.1',"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,9,9,0,0,9,11,11,0,2,9,7,7,0,0,7,8,8,0,0,8,15,15,0,2,13,21,21,0,0,21,19,19,0,0,19,16,16,0,NA,16,13,13,0,NA,13,20,20,0,NA,20,12,12,0,NA,12,17,17,0,NA,17,168,168,0,4,164
Bokaro,'5.2',Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,16,16,0,NA,16,27,27,0,NA,27,32,32,0,NA,32,27,27,0,NA,27,44,44,0,NA,44,30,30,0,NA,30,15,15,0,NA,15,30,30,0,NA,30,22,22,0,NA,22,17,17,0,NA,17,11,11,0,NA,11,22,22,0,NA,22,293,293,0,NA,293
Bokaro,'6.1',Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,117,117,0,15,102,104,104,0,26,78,86,86,0,11,75,123,123,0,14,109,129,129,0,19,110,114,114,0,6,108,111,111,0,8,103,88,88,0,10,78,84,84,0,7,77,89,89,0,2,87,63,63,0,3,60,40,40,0,0,40,1148,1148,0,121,1027
Bokaro,'6.2',Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,1410,1166,244,15,1395,1724,1247,477,26,1698,1642,1065,577,11,1631,1751,1174,577,16,1735,1736,1259,477,19,1717,1674,1155,519,6,1668,1629,1176,453,8,1621,1656,1148,508,10,1646,1761,1222,539,7,1754,1594,1099,495,2,1592,2211,1039,1172,753,1458,1596,791,805,348,1248,20384,13541,6843,1221,19163
Bokaro,'6.3',Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,1549,1359,190,15,1534,1583,1394,189,26,1557,1865,1288,577,11,1854,1955,1418,537,16,1939,1870,1430,440,19,1851,1844,1384,460,6,1838,1859,1460,399,8,1851,1797,1337,460,10,1787,1936,1448,488,7,1929,1690,1232,458,2,1688,2371,1199,1172,753,1618,1843,1038,805,348,1495,22162,15987,6175,1221,20941
Bokaro,'6.4',Number of mothers provided 360 Calcium tablets after delivery,TOTAL,1546,1356,190,15,1531,1587,1398,189,26,1561,1865,1288,577,11,1854,1949,1412,537,16,1933,1856,1416,440,19,1837,1853,1393,460,6,1847,1870,1471,399,8,1862,1837,1377,460,10,1827,1978,1490,488,7,1971,1767,1309,458,2,1765,2376,1204,1172,753,1623,1843,1038,805,348,1495,22327,16152,6175,1221,21106
Bokaro,'7.1.1',New RTI/STI cases identified - Male,TOTAL,19,19,0,0,19,16,16,0,0,16,20,20,0,0,20,30,30,0,0,30,22,22,0,0,22,29,29,0,0,29,44,44,0,0,44,51,51,0,NA,51,42,42,0,NA,42,30,30,0,NA,30,19,19,0,NA,19,19,19,0,NA,19,341,341,0,0,341
Bokaro,'7.1.2',New RTI/STI cases identified - Female,TOTAL,69,69,0,0,69,54,54,0,0,54,59,59,0,0,59,88,88,0,0,88,58,58,0,0,58,50,50,0,0,50,58,58,0,0,58,119,119,0,NA,119,93,93,0,NA,93,118,118,0,NA,118,128,128,0,NA,128,64,64,0,NA,64,958,958,0,0,958
Bokaro,'7.2.1',RTI/STI for which treatment initiated - Male,TOTAL,21,21,0,0,21,20,20,0,0,20,26,26,0,0,26,36,36,0,0,36,26,26,0,0,26,33,33,0,0,33,48,48,0,0,48,55,55,0,NA,55,40,40,0,NA,40,27,27,0,NA,27,17,17,0,NA,17,16,16,0,NA,16,365,365,0,0,365
Bokaro,'7.2.2',RTI/STI for which treatment initiated -Female,TOTAL,71,71,0,0,71,57,57,0,0,57,62,62,0,0,62,91,91,0,0,91,61,61,0,0,61,55,55,0,0,55,63,63,0,0,63,125,125,0,NA,125,90,90,0,NA,90,116,116,0,NA,116,125,125,0,NA,125,62,62,0,NA,62,978,978,0,0,978
Bokaro,'8.1.1',Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,4,1,3,3,1,3,0,3,3,0,1,0,1,1,0,9,2,7,2,7,3,0,3,3,0,3,0,3,1,2,0,0,0,0,0,20,5,15,1,19,13,6,7,3,10,17,11,6,0,17,13,8,5,NA,13,0,0,0,NA,0,86,33,53,17,69
Bokaro,'8.2.1',Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,5,0,5,5,0,2,0,2,2,0,11,0,11,11,0,21,0,21,21,0,15,0,15,15,0,64,0,64,64,0,0,0,0,NA,0,0,0,0,NA,0,120,0,120,120,0
Bokaro,'8.2.2',Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,154,86,68,45,109,38,2,36,26,12,28,5,23,17,11,65,32,33,11,54,50,13,37,24,26,74,0,74,46,28,132,19,113,87,45,707,309,398,275,432,1470,661,809,513,957,2010,938,1072,631,1379,1132,866,266,NA,1132,217,101,116,NA,217,6077,3032,3045,1675,4402
Bokaro,'8.2.3',Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,28,6,22,20,8,22,22,0,0,22,48,15,33,33,15,53,18,35,35,18,51,17,34,34,17,53,24,29,29,24,78,35,43,43,35,36,7,29,29,7,49,11,38,38,11,11,11,0,0,11,8,8,0,NA,8,4,4,0,NA,4,441,178,263,261,180
Bokaro,'8.2.4',Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,11,11,0,0,11,2,2,0,NA,2,0,0,0,NA,0,3,3,0,NA,3,4,4,0,NA,4,0,0,0,NA,0,22,22,0,0,22
Bokaro,'8.3',Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,148,135,13,11,137,173,108,65,9,164,99,84,15,14,85,294,212,82,11,283,300,138,162,47,253,255,113,142,11,244,299,204,95,84,215,215,130,85,14,201,227,137,90,17,210,94,88,6,3,91,131,90,41,0,131,124,89,35,0,124,2359,1528,831,221,2138
Bokaro,'8.4',Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,163,149,14,14,149,120,119,1,1,119,127,127,0,0,127,183,173,10,10,173,157,154,3,3,154,191,187,4,4,187,172,152,20,20,152,189,179,10,10,179,179,179,0,0,179,153,153,0,0,153,148,148,0,0,148,108,108,0,0,108,1890,1828,62,62,1828
